Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
RR2,-0.588774149329061,0.0408511028098014,0.0127848930546967,0,0,0,36.5845433565165,1.00871051362826,0.0947398884847944,-0.263965761447491,7.61553574144828,-0.0240436496542896,7.61601067928964,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RR2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RR2.STL,,대칭 복사Assy Leg_R6_FR1-2/대칭 복사어셈블리61^Assy Leg_R6_FR-1,좌표계23,기준축23,RRJ2,revolute,-0.3,0.0025,-0.11,1.5708,0,0,RR1,0,0,-1,0,0,0,0,,,,,,,,
RR3,-0.00356383701772245,-0.427150481599803,0.00935955283815515,0,0,0,22.9329517084689,2.16226834073721,0.0522323144372041,-7.51602542573697E-19,0.164045827211879,-7.68937945734984E-17,2.13893902934876,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RR3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RR3.STL,,대칭 복사Assy Leg_R6_FR1-2/대칭 복사어셈블리41^Assy Leg_R6_FR22-1,좌표계25,기준축25,RRJ3,revolute,-1.4,0,0,0,0,0,RR2,0,0,-1,0,0,0,0,,,,,,,,
RR4_1,-3.10862446895044E-14,-1.38666855775682E-13,0.0111633611012182,0,0,0,16.5024333560923,0.244638564571836,7.9790503631352E-20,-3.57261530538246E-18,0.244638564571836,-1.25282877441871E-17,0.0139877069681215,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RR4_1.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RR4_1.STL,,대칭 복사Assy Leg_R6_FR1-2/대칭 복사Shaft_21-1,좌표계27,기준축27,RRJ4_1,revolute,0,-1,0,0,0,0,RR3,0,0,-1,0,0,0,0,,,,,,,,
RR4_2,-0.0359091607517379,-0.125594578063893,0.00249986817514558,0,0,0,69.3567064226714,1.77951824920781,0.0294501684033658,5.9782083421565E-08,2.57650177263851,2.72198544681528E-07,1.23222433067319,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RR4_2.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RR4_2.STL,,대칭 복사Assy Leg_R6_FR1-2/대칭 복사선회 플레이트1-1;대칭 복사Assy Leg_R6_FR1-2/대칭 복사WEA121-1,좌표계27,기준축27,RRJ4_2,revolute,0,0,0,0,0,0,RR4_1,0,0,-1,0,0,0,0,,,,,,,,
RR4,-3.02467926260874E-08,-0.149453496690663,-0.230290418569618,0,0,0,146.801539980925,7.25645441050801,1.55789924592611E-05,1.39670062205981E-05,6.20786909809725,-0.917759855227309,8.18959988104351,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RR4.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RR4.STL,,대칭 복사Assy Leg_R6_FR1-2/대칭 복사H_Wheel_Assy1-1/대칭 복사Wheel Mount_31-1;대칭 복사Assy Leg_R6_FR1-2/대칭 복사H_Wheel_Assy1-1/대칭 복사wheel cover1-1,좌표계29,기준축29,RRJ4,revolute,0,-0.1935,0.0025,-1.5708,0,0,RR4_2,0,0,1,0,0,0,0,,,,,,,,
RR5,-3.15934655770178E-07,1.26237352975345E-05,0.55781735910992,0,0,0,436.425785007827,58.7363716356569,0.000816001465151365,-7.03563477497343E-05,58.7375440356666,0.00200941296449644,104.577777775049,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RR5.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RR5.STL,,대칭 복사Assy Leg_R6_FR1-2/대칭 복사H_Wheel_Assy1-1/대칭 복사H_Wheel_R11-1;대칭 복사Assy Leg_R6_FR1-2/대칭 복사H_Wheel_Assy1-1/대칭 복사HTM101-1,좌표계30,기준축30,RRJ5,continuous,0,0,-0.2385,1.5708,0,0,RR4,0,0,1,,,,,,,,,,,,
RRB0,-0.0806347311700222,0.087371390531422,0.00249999999998152,0,0,0,21.7247820620153,0.192847221143694,0.000680393657359611,1.39329185348751E-18,0.10723046509661,3.5527784867202E-19,0.29862936743617,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RRB0.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RRB0.STL,,대칭 복사Assy Leg_R6_FR1-2/대칭 복사삼각링크1-1;대칭 복사Assy Leg_R6_FR1-2/대칭 복사삼각링크1-2,좌표계25,기준축25,RRBJ0,revolute,-1.4,0,0,0,0,0,RR2,0,0,-1,0,0,0,0,,,,,,,,
RRB2,-1.11466391672366E-13,5.48727729920984E-14,-4.44089209850063E-16,0,0,0,1.79252951740625,0.00072944465306636,2.24010976137132E-20,-3.07136726208485E-20,0.000729444653066361,-1.41666365653347E-20,0.00112765869619503,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RRB2.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RRB2.STL,,대칭 복사Assy Leg_R6_FR1-2/대칭 복사Shaft_31-1;대칭 복사Assy Leg_R6_FR1-2/대칭 복사Shaft_31-2,좌표계26,기준축26,RRBJ2,revolute,-0.18,0,0.0025,0,0,0,RRB0,0,0,1,0,0,0,0,,,,,,,,
RRB3,-6.79456491070596E-14,-0.532590958718266,-1.11022302462516E-15,0,0,0,3.50323706641282,0.330577290856632,-3.16587034365769E-17,1.45238383624763E-18,0.00622995155935604,-5.71015869749447E-18,0.336710465944543,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RRB3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RRB3.STL,,대칭 복사Assy Leg_R6_FR1-2/대칭 복사어셈블리51^Assy Leg_R6_FR-1;대칭 복사Assy Leg_R6_FR1-2/대칭 복사어셈블리51^Assy Leg_R6_FR-2,좌표계26,기준축26,RRBJ3,revolute,0,0,0,0,0,0,RRB2,0,0,1,0,0,0,0,,,,,,,,
RRB1,-0.700000000000003,-2.77555756156289E-16,-2.66453525910038E-15,0,0,0,3.64822195764986,0.00344957432771757,1.05111486949167E-19,1.56278256772788E-19,0.56426991187024,-8.09044468424736E-21,0.567581904124655,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RRB1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RRB1.STL,,대칭 복사Assy Leg_R6_FR1-2/대칭 복사어셈블리31^Assy Leg_R6_FR-2;대칭 복사Assy Leg_R6_FR1-2/대칭 복사어셈블리31^Assy Leg_R6_FR-1,좌표계22,기준축22,RRBJ1,revolute,-0.38,0,0.14,1.5708,0,0,RR1,0,0,1,0,0,0,0,,,,,,,,
